Date,Media Type,Media Outlet,Title,Link,Author,Sentiment,Desktop Readership,Mobile Readership,Total Readership,Shares,Ad Equivalency,Article Impact,SEO Impact,Tags,Country,State,City
7/9/2024,News,Eurasia Review,Braiding Community Values With Science Is Key To Ecosystem Restoration,https://www.eurasiareview.com/09072024-braiding-community-values-with-science-is-key-to-ecosystem-restoration,Eurasia Review,neutral,47523,232735,280259,0,$526.89 ,Medium,67,,Germany,Baden-WÃ¼rttemberg,Weinheim
7/8/2024,News,Press News.org,Braiding community values with science is key to ecosystem restoration,https://press-news.org/194584-braiding-community-values-with-science-is-key-to-ecosystem-restoration.html,,neutral,337,500,837,0,$1.57 ,Low,38,,United States,,
7/8/2024,News,BIOENGINEER.ORG,Braiding community values with science is key to ecosystem restoration,https://bioengineer.org/braiding-community-values-with-science-is-key-to-ecosystem-restoration/,by,neutral,2656,790,3446,0,$6.48 ,Low,46,,South Africa,,
7/8/2024,News,Scienmag,Braiding community values with science is key to ecosystem restoration,https://scienmag.com/braiding-community-values-with-science-is-key-to-ecosystem-restoration/,SCIENMAG,neutral,3169,16523,19693,0,$37.02 ,Low,59,,China,,
7/8/2024,News,EurekAlert!,Braiding community values with science is key to ecosystem restoration,https://www.eurekalert.org/news-releases/1049320,,neutral,178449,346468,524917,0,$986.84 ,Medium,91,,United States,,
7/8/2024,News,herald-review.com - RSS Results,China: Community-Led Restoration Efforts Transform Qinghai-Tibetan Plateau,https://breakingone.com/news/china-community-led-restoration-efforts-transform-qinghai-tibetan-plateau/video_d2eca72b-371c-52bc-8b41-33ab591fe23c.html,Guest,neutral,88,500,588,0,$1.11 ,Low,30,,Ireland,Dublin,Dublin
7/8/2024,News,Todays Chronic,"Combining community values with science is key to ecosystem restoration, study demonstrates",https://todayschronic.com/combining-community-values-with-science-is-key-to-ecosystem-restoration-study-demonstrates/,Shen Ridenbaugh,neutral,1900,888,2789,0,$5.24 ,Low,55,,United States,Ohio,Oregon
7/8/2024,News,Swifttelecast,"Combining community values with science is key to ecosystem restoration, study demonstrates",http://swifttelecast.com/combining-community-values-with-science-is-key-to-ecosystem-restoration-study-demonstrates,Milton Acorn,neutral,2166,2328,4494,0,$8.45 ,Low,61,,Italy,,
7/8/2024,News,QNewsHub,"Combining Community Values With Science Is Key To Ecosystem Restoration, Study Demonstrates",https://qnewshub.com/science/combining-community-values-with-science-is-key-to-ecosystem-restoration-study-demonstrates/,@qnewshub,positive,402,239,641,0,$1.21 ,Low,35,,"Korea, Republic of",Seoul Teugbyeolsi [Seoul-T'ukpyolshi],Seoul
7/7/2024,News,Phys.org,"Combining community values with science is key to ecosystem restoration, study demonstrates",https://phys.org/news/2024-06-combining-community-values-science-key.html,"Catherine Diamond, Luyao Wang",neutral,877569,6216686,7094256,0,"$13,337.20 ",Medium,90,,Australia,New South Wales,Lithgow
7/7/2024,News,NewsConcerns,"Combining community values with science is key to ecosystem restoration, study demonstrates",https://newsconcerns.com/combining-community-values-with-science-is-key-to-ecosystem-restoration-study-demonstrates/,Leo Wilson,neutral,1252,944,2197,0,$4.13 ,Low,62,,Australia,New South Wales,Lithgow
7/8/2024,News,Technology Networks,"Local Communities Are Indispensable to Ecosystem Restoration, Say Researchers",https://www.technologynetworks.com/tn/news/local-communities-are-indispensable-to-ecosystem-restoration-say-researchers-388499,Technology Networks,neutral,191739,267213,458953,0,$862.83 ,Medium,65,,United States,New York,New York
7/8/2024,News,Home - Agenbrilink.net,"Mengaitkan nilai-nilai masyarakat dengan ilmu pengetahuan adalah kunci restorasi ekosistem, menurut penelitian",https://agenbrilink.net/berita/mengaitkan-nilai-nilai-masyarakat-dengan-ilmu-pengetahuan-adalah-kunci-restorasi-ekosistem-menurut-penelitian/6726,Dimas Pratama,neutral,69,500,569,0,$1.07 ,Low,20,,Philippines,National Capital Region,
7/8/2024,News,Mirage News,"Science, Community Values Key to Ecosystem Restoration",https://www.miragenews.com/science-community-values-key-to-ecosystem-1270808/,,neutral,125128,289616,414745,0,$779.72 ,Medium,60,,"Korea, Republic of",Busan Gwang'yeogsi [Pusan-Kwangyokshi],Busan
7/8/2024,News,Philanthropy News Digest,"Science, Community Values Key to Ecosystem Restoration",https://philanthropynewsdigest.org/news/other-sources/article/?id=15146281,,neutral,50099,44869,94969,0,$178.54 ,Low,62,,"Korea, Republic of",Seoul Teugbyeolsi [Seoul-T'ukpyolshi],Seoul
,,,,,,,,,,,,,,,,,
,,,,,,,,,8903353,,"$16,738.30 ",,,,,,
